Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-21 14:51:46 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Dani\CBASS\CBASS_plate2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CBASS_plate2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-14 14:10:11 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.332,TRUE,3,39,No Amp,,0.000,N,N,N,60.001,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.211,TRUE,3,39,No Amp,,0.000,N,Y,N,77.095,85.643,89.622,
3,A3,FALSE,22,Acerv,UNKNOWN,SYBR,None,24.646,24.619,0.037,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.990,N,N,N,74.001,,,
4,A4,FALSE,22,A,UNKNOWN,SYBR,None,22.573,22.329,0.346,,,,,,,,TRUE,0.211,TRUE,3,18,Amp,,0.978,N,N,N,85.495,,,
5,A5,FALSE,22,Acerv,UNKNOWN,SYBR,None,24.593,24.619,0.037,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.986,N,N,N,74.001,,,
6,A6,FALSE,22,A,UNKNOWN,SYBR,None,22.084,22.329,0.346,,,,,,,,TRUE,0.211,TRUE,3,16,Amp,,0.971,N,N,N,85.495,,,
7,A7,FALSE,23,Acerv,UNKNOWN,SYBR,None,23.754,24.132,0.535,,,,,,,,TRUE,0.332,TRUE,3,18,Amp,,0.995,N,N,Y,74.001,,,
8,A8,FALSE,23,A,UNKNOWN,SYBR,None,22.398,22.359,0.054,,,,,,,,TRUE,0.211,TRUE,3,18,Amp,,0.965,N,N,N,85.495,,,
9,A9,FALSE,23,Acerv,UNKNOWN,SYBR,None,24.510,24.132,0.535,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.953,N,N,Y,74.001,,,
10,A10,FALSE,23,A,UNKNOWN,SYBR,None,22.321,22.359,0.054,,,,,,,,TRUE,0.211,TRUE,3,18,Amp,,0.964,N,N,N,85.643,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.456,8.630,0.246,,,,,,,,TRUE,0.332,TRUE,3,4,Amp,,0.956,N,N,N,74.148,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,8.719,8.866,0.207,,,,,,,,TRUE,0.211,TRUE,3,5,Amp,,0.611,Y,N,N,85.201,,,
13,B1,FALSE,24,Acerv,UNKNOWN,SYBR,None,25.940,25.764,0.249,,,,,,,,TRUE,0.332,TRUE,3,20,Amp,,0.992,N,N,N,73.853,,,
14,B2,FALSE,24,A,UNKNOWN,SYBR,None,22.493,22.373,0.170,,,,,,,,TRUE,0.211,TRUE,3,17,Amp,,0.987,N,N,N,85.201,,,
15,B3,FALSE,24,Acerv,UNKNOWN,SYBR,None,25.588,25.764,0.249,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.988,N,N,N,74.148,,,
16,B4,FALSE,24,A,UNKNOWN,SYBR,None,22.252,22.373,0.170,,,,,,,,TRUE,0.211,TRUE,3,17,Amp,,0.989,N,N,N,85.790,,,
17,B5,FALSE,25,Acerv,UNKNOWN,SYBR,None,25.020,25.061,0.058,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.994,N,N,N,74.001,,,
18,B6,FALSE,25,A,UNKNOWN,SYBR,None,21.702,21.687,0.021,,,,,,,,TRUE,0.211,TRUE,3,17,Amp,,0.960,N,N,N,85.495,,,
19,B7,FALSE,25,Acerv,UNKNOWN,SYBR,None,25.103,25.061,0.058,,,,,,,,TRUE,0.332,TRUE,3,20,Amp,,0.993,N,N,N,74.001,,,
20,B8,FALSE,25,A,UNKNOWN,SYBR,None,21.672,21.687,0.021,,,,,,,,TRUE,0.211,TRUE,3,17,Amp,,0.983,N,N,N,85.348,,,
21,B9,FALSE,26,Acerv,UNKNOWN,SYBR,None,24.885,24.908,0.032,,,,,,,,TRUE,0.332,TRUE,3,17,Amp,,0.990,N,N,N,74.001,,,
22,B10,FALSE,26,A,UNKNOWN,SYBR,None,22.560,22.421,0.197,,,,,,,,TRUE,0.211,TRUE,3,18,Amp,,0.984,N,N,N,85.495,,,
23,B11,FALSE,26,Acerv,UNKNOWN,SYBR,None,24.931,24.908,0.032,,,,,,,,TRUE,0.332,TRUE,3,19,Amp,,0.980,N,N,N,73.853,,,
